Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.33941,-0.54032,0.36444,0,0,0,247.35,16.792,-1.2534E-17,-1.1221E-15,16.917,1.8332E-14,15.209,0,0,0,0,0,0,package://horizonforce/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://horizonforce/meshes/base_link.STL,,superfixture-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.014973,0.33223,-2.8596E-09,0,0,0,0.43373,0.0023488,1.3875E-06,9.3909E-10,0.00018319,-8.8506E-11,0.0023838,0,0,0,0,0,0,package://horizonforce/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://horizonforce/meshes/link1.STL,,firstlinkrotated-1,Origin_joint1,,joint1,fixed,0.53033,-0.59566,0.73931,-3.1416,0,-0.0046535,base_link,0,0,0,,,,,,,,,,,,
link2,-0.00022622,0.075187,-0.0125,0,0,0,0.32435,0.00037151,-2.8054E-06,-5.1364E-10,0.00015095,8.2392E-10,0.00040236,0,0,0,0,0,0,package://horizonforce/meshes/link2.STL,0.96078,0.96078,0.94902,1,0,0,0,0,0,0,package://horizonforce/meshes/link2.STL,,secondlink-1,Origin_joint2,Axis_joint2,joint2,revolute,0,0.45,0,-1.5708,-1.5527,1.5708,link1,0,0,1,0,0,-0.7854,0.7854,,,,,,,,
link3,-0.034259,3.8013E-05,0.0024758,0,0,0,0.12179,6.3147E-05,-1.6046E-06,-1.2006E-07,0.00013445,-1.4847E-09,9.6578E-05,0,0,0,0,0,0,package://horizonforce/meshes/link3.STL,0.96078,0.96078,0.94902,1,0,0,0,0,0,0,package://horizonforce/meshes/link3.STL,,thirdlink-1,Origin_joint3,Axis_joint3,joint3,revolute,0,0.16,-0.0125,-1.5708,-0.0054927,-1.5708,link2,0,0,1,0,0,-0.7854,0.7854,,,,,,,,
link4,-0.0018508,0.043793,0.0063844,0,0,0,0.11343,0.00015269,6.3432E-06,1.6637E-08,5.7464E-05,-4.5966E-08,0.00010402,0,0,0,0,0,0,package://horizonforce/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://horizonforce/meshes/link4.STL,,End Effector-1,Origin_joint4,Axis_joint4,joint4,revolute,-0.075,-0.0004747,0,0,-0.0013254,1.5758,link3,0,0,1,0,0,-0.7854,0.7854,,,,,,,,
